MID,1,2,3,4,5,6,7,8,9,10,11,Name,Gender
1,0,4,5,1,4,4,1,3,0,0,2,kjeld kirk kristiansen,m
2,1,0,1,3,2,2,3,7,0,0,0,agnete kirk thinggaard,f
3,5,4,0,0,4,4,0,0,0,0,0,camilla kirk kristiansen,f
4,4,6,0,0,6,6,5,0,6,0,4,edith kirk christiansen,f
5,1,2,1,3,0,2,3,7,0,0,0,sofie kirk kristiansen,f
6,1,2,1,3,2,0,3,7,0,0,0,thomas kirk kristiansen,m
7,4,6,0,5,6,6,0,1,6,0,4,gotfred,m
8,6,8,0,0,8,8,4,0,8,0,6,ole kirk,m
9,0,7,0,3,0,0,3,0,0,1,1,anders,m
10,0,0,0,0,0,0,0,0,4,0,5,mogans johansen,m
11,2,0,0,1,0,0,1,3,4,5,0,gunhild,f
