MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Name,Gender
1,0,4,1,2,0,0,0,0,0,1,5,5,4,4,prince joachim,m
2,1,0,3,0,0,0,0,0,0,3,1,0,2,0,prince nikolai,m
3,4,6,0,4,0,6,6,6,6,5,0,0,6,6,queen margrethe ii,f
4,2,0,1,0,5,4,4,4,4,1,0,0,0,0,prince frederik,m
5,0,0,0,5,0,4,4,4,4,0,0,0,0,0,princess mary,f
6,0,0,3,1,1,0,2,2,2,3,0,0,0,0,prince cristian,m
7,0,0,3,1,1,2,0,2,2,3,0,0,0,0,prince vincent,m
8,0,0,3,1,1,2,2,0,2,3,0,0,0,0,princess isabella,f
9,0,0,3,1,1,2,2,2,0,3,0,0,0,0,prince josephine,f
10,4,6,5,4,0,6,6,6,6,0,0,0,0,2,prince henrik,m
11,5,4,0,0,0,0,0,0,0,0,0,0,4,0,alexandra,f
12,5,0,0,0,0,0,0,0,0,0,0,0,0,4,princess marie,f
13,1,2,3,0,0,0,0,0,0,0,1,0,0,0,prince felix,m
14,1,0,3,0,0,0,0,0,0,2,0,1,0,0,princess athena,f
