
🚀 Starting Epoch 1/10
🟢 Epoch 1 | Step 0/42358

🚀 Starting Epoch 1/10
🟢 Epoch 1 | Step 0/42358
🟢 Epoch 1 | Step 500/42358
🟢 Epoch 1 | Step 1000/42358
🟢 Epoch 1 | Step 1500/42358
🟢 Epoch 1 | Step 2000/42358
🟢 Epoch 1 | Step 2500/42358
🟢 Epoch 1 | Step 3000/42358
🟢 Epoch 1 | Step 3500/42358
🟢 Epoch 1 | Step 4000/42358
🟢 Epoch 1 | Step 4500/42358
🟢 Epoch 1 | Step 5000/42358
🟢 Epoch 1 | Step 5500/42358
🟢 Epoch 1 | Step 6000/42358
🟢 Epoch 1 | Step 6500/42358
🟢 Epoch 1 | Step 7000/42358
🟢 Epoch 1 | Step 7500/42358
🟢 Epoch 1 | Step 8000/42358
🟢 Epoch 1 | Step 8500/42358
🟢 Epoch 1 | Step 9000/42358
🟢 Epoch 1 | Step 9500/42358
🟢 Epoch 1 | Step 10000/42358
🟢 Epoch 1 | Step 10500/42358
🟢 Epoch 1 | Step 11000/42358
🟢 Epoch 1 | Step 11500/42358
🟢 Epoch 1 | Step 12000/42358
🟢 Epoch 1 | Step 12500/42358
🟢 Epoch 1 | Step 13000/42358
🟢 Epoch 1 | Step 13500/42358
🟢 Epoch 1 | Step 14000/42358
🟢 Epoch 1 | Step 14500/42358
🟢 Epoch 1 | Step 15000/42358
🟢 Epoch 1 | Step 15500/42358
🟢 Epoch 1 | Step 16000/42358
🟢 Epoch 1 | Step 16500/42358
🟢 Epoch 1 | Step 17000/42358
🟢 Epoch 1 | Step 17500/42358
🟢 Epoch 1 | Step 18000/42358
🟢 Epoch 1 | Step 18500/42358
🟢 Epoch 1 | Step 19000/42358
🟢 Epoch 1 | Step 19500/42358
🟢 Epoch 1 | Step 20000/42358
🟢 Epoch 1 | Step 20500/42358
🟢 Epoch 1 | Step 21000/42358
🟢 Epoch 1 | Step 21500/42358
🟢 Epoch 1 | Step 22000/42358
🟢 Epoch 1 | Step 22500/42358
🟢 Epoch 1 | Step 23000/42358
🟢 Epoch 1 | Step 23500/42358
🟢 Epoch 1 | Step 24000/42358
🟢 Epoch 1 | Step 24500/42358
🟢 Epoch 1 | Step 25000/42358
🟢 Epoch 1 | Step 25500/42358
🟢 Epoch 1 | Step 26000/42358
🟢 Epoch 1 | Step 26500/42358
🟢 Epoch 1 | Step 27000/42358
🟢 Epoch 1 | Step 27500/42358
🟢 Epoch 1 | Step 28000/42358
🟢 Epoch 1 | Step 28500/42358
🟢 Epoch 1 | Step 29000/42358
🟢 Epoch 1 | Step 29500/42358
🟢 Epoch 1 | Step 30000/42358
🟢 Epoch 1 | Step 30500/42358
🟢 Epoch 1 | Step 31000/42358
🟢 Epoch 1 | Step 31500/42358
🟢 Epoch 1 | Step 32000/42358
🟢 Epoch 1 | Step 32500/42358
🟢 Epoch 1 | Step 33000/42358
🟢 Epoch 1 | Step 33500/42358
🟢 Epoch 1 | Step 34000/42358
🟢 Epoch 1 | Step 34500/42358
🟢 Epoch 1 | Step 35000/42358
🟢 Epoch 1 | Step 35500/42358
🟢 Epoch 1 | Step 36000/42358
🟢 Epoch 1 | Step 36500/42358
🟢 Epoch 1 | Step 37000/42358
🟢 Epoch 1 | Step 37500/42358
🟢 Epoch 1 | Step 38000/42358
🟢 Epoch 1 | Step 38500/42358
🟢 Epoch 1 | Step 39000/42358
🟢 Epoch 1 | Step 39500/42358
🟢 Epoch 1 | Step 40000/42358
🟢 Epoch 1 | Step 40500/42358
🟢 Epoch 1 | Step 41000/42358
🟢 Epoch 1 | Step 41500/42358
🟢 Epoch 1 | Step 42000/42358
✅ Epoch 1 complete. Avg Loss: 0.0103 | Accuracy: 0.9881
💾 Saved checkpoint: checkpoint_epoch_1.pt

🚀 Starting Epoch 2/10
🟢 Epoch 2 | Step 0/42358
🟢 Epoch 2 | Step 500/42358
🟢 Epoch 2 | Step 1000/42358
🟢 Epoch 2 | Step 1500/42358
🟢 Epoch 2 | Step 2000/42358
🟢 Epoch 2 | Step 2500/42358
🟢 Epoch 2 | Step 3000/42358
🟢 Epoch 2 | Step 3500/42358
🟢 Epoch 2 | Step 4000/42358
🟢 Epoch 2 | Step 4500/42358
🟢 Epoch 2 | Step 5000/42358
🟢 Epoch 2 | Step 5500/42358
🟢 Epoch 2 | Step 6000/42358
🟢 Epoch 2 | Step 6500/42358
🟢 Epoch 2 | Step 7000/42358
🟢 Epoch 2 | Step 7500/42358
🟢 Epoch 2 | Step 8000/42358
🟢 Epoch 2 | Step 8500/42358
🟢 Epoch 2 | Step 9000/42358
🟢 Epoch 2 | Step 9500/42358
🟢 Epoch 2 | Step 10000/42358
🟢 Epoch 2 | Step 10500/42358
🟢 Epoch 2 | Step 11000/42358
🟢 Epoch 2 | Step 11500/42358
🟢 Epoch 2 | Step 12000/42358
🟢 Epoch 2 | Step 12500/42358
🟢 Epoch 2 | Step 13000/42358
🟢 Epoch 2 | Step 13500/42358
🟢 Epoch 2 | Step 14000/42358
🟢 Epoch 2 | Step 14500/42358
🟢 Epoch 2 | Step 15000/42358
🟢 Epoch 2 | Step 15500/42358
🟢 Epoch 2 | Step 16000/42358
🟢 Epoch 2 | Step 16500/42358
🟢 Epoch 2 | Step 17000/42358
🟢 Epoch 2 | Step 17500/42358
🟢 Epoch 2 | Step 18000/42358
🟢 Epoch 2 | Step 18500/42358
🟢 Epoch 2 | Step 19000/42358
🟢 Epoch 2 | Step 19500/42358
🟢 Epoch 2 | Step 20000/42358
🟢 Epoch 2 | Step 20500/42358
🟢 Epoch 2 | Step 21000/42358
🟢 Epoch 2 | Step 21500/42358
🟢 Epoch 2 | Step 22000/42358
🟢 Epoch 2 | Step 22500/42358
🟢 Epoch 2 | Step 23000/42358
🟢 Epoch 2 | Step 23500/42358
🟢 Epoch 2 | Step 24000/42358
🟢 Epoch 2 | Step 24500/42358
🟢 Epoch 2 | Step 25000/42358
🟢 Epoch 2 | Step 25500/42358
🟢 Epoch 2 | Step 26000/42358
🟢 Epoch 2 | Step 26500/42358
🟢 Epoch 2 | Step 27000/42358
🟢 Epoch 2 | Step 27500/42358
🟢 Epoch 2 | Step 28000/42358
🟢 Epoch 2 | Step 28500/42358
🟢 Epoch 2 | Step 29000/42358
🔁 Resuming from checkpoint_epoch_1.pt (epoch 1)

🚀 Starting Epoch 2/10
🟢 Epoch 2 | Step 0/42358
🟢 Epoch 2 | Step 500/42358
🟢 Epoch 2 | Step 1000/42358
🟢 Epoch 2 | Step 1500/42358
🟢 Epoch 2 | Step 2000/42358
🟢 Epoch 2 | Step 2500/42358
🟢 Epoch 2 | Step 3000/42358
🟢 Epoch 2 | Step 3500/42358
🟢 Epoch 2 | Step 4000/42358
🟢 Epoch 2 | Step 4500/42358
🟢 Epoch 2 | Step 5000/42358
🟢 Epoch 2 | Step 5500/42358
🟢 Epoch 2 | Step 6000/42358
🟢 Epoch 2 | Step 6500/42358
🟢 Epoch 2 | Step 7000/42358
🟢 Epoch 2 | Step 7500/42358
🟢 Epoch 2 | Step 8000/42358
🟢 Epoch 2 | Step 8500/42358
🟢 Epoch 2 | Step 9000/42358
🟢 Epoch 2 | Step 9500/42358
🟢 Epoch 2 | Step 10000/42358
🟢 Epoch 2 | Step 10500/42358
🟢 Epoch 2 | Step 11000/42358
🟢 Epoch 2 | Step 11500/42358
🟢 Epoch 2 | Step 12000/42358
🟢 Epoch 2 | Step 12500/42358
🟢 Epoch 2 | Step 13000/42358
🟢 Epoch 2 | Step 13500/42358
🟢 Epoch 2 | Step 14000/42358
🟢 Epoch 2 | Step 14500/42358
🟢 Epoch 2 | Step 15000/42358
🟢 Epoch 2 | Step 15500/42358
🟢 Epoch 2 | Step 16000/42358
🟢 Epoch 2 | Step 16500/42358
🟢 Epoch 2 | Step 17000/42358
🟢 Epoch 2 | Step 17500/42358
🟢 Epoch 2 | Step 18000/42358
🟢 Epoch 2 | Step 18500/42358
🟢 Epoch 2 | Step 19000/42358
🟢 Epoch 2 | Step 19500/42358
🟢 Epoch 2 | Step 20000/42358
🟢 Epoch 2 | Step 20500/42358
🟢 Epoch 2 | Step 21000/42358
🟢 Epoch 2 | Step 21500/42358
🟢 Epoch 2 | Step 22000/42358
🟢 Epoch 2 | Step 22500/42358
🟢 Epoch 2 | Step 23000/42358
🟢 Epoch 2 | Step 23500/42358
🟢 Epoch 2 | Step 24000/42358
🟢 Epoch 2 | Step 24500/42358
🟢 Epoch 2 | Step 25000/42358
🟢 Epoch 2 | Step 25500/42358
🟢 Epoch 2 | Step 26000/42358
🟢 Epoch 2 | Step 26500/42358
🟢 Epoch 2 | Step 27000/42358
🟢 Epoch 2 | Step 27500/42358
🟢 Epoch 2 | Step 28000/42358
🟢 Epoch 2 | Step 28500/42358
🟢 Epoch 2 | Step 29000/42358
🟢 Epoch 2 | Step 29500/42358
🟢 Epoch 2 | Step 30000/42358
🟢 Epoch 2 | Step 30500/42358
🟢 Epoch 2 | Step 31000/42358
🟢 Epoch 2 | Step 31500/42358
🟢 Epoch 2 | Step 32000/42358
🟢 Epoch 2 | Step 32500/42358
🟢 Epoch 2 | Step 33000/42358
🟢 Epoch 2 | Step 33500/42358
🟢 Epoch 2 | Step 34000/42358
🟢 Epoch 2 | Step 34500/42358
🟢 Epoch 2 | Step 35000/42358
🟢 Epoch 2 | Step 35500/42358
🟢 Epoch 2 | Step 36000/42358
🟢 Epoch 2 | Step 36500/42358
🟢 Epoch 2 | Step 37000/42358
🟢 Epoch 2 | Step 37500/42358
🟢 Epoch 2 | Step 38000/42358
🟢 Epoch 2 | Step 38500/42358
🟢 Epoch 2 | Step 39000/42358
🟢 Epoch 2 | Step 39500/42358
🟢 Epoch 2 | Step 40000/42358
🟢 Epoch 2 | Step 40500/42358
🟢 Epoch 2 | Step 41000/42358
🟢 Epoch 2 | Step 41500/42358
🟢 Epoch 2 | Step 42000/42358
✅ Epoch 2 complete. Avg Loss: 0.0088 | Accuracy: 0.9907
💾 Saved checkpoint: checkpoint_epoch_2.pt

🚀 Starting Epoch 3/10
🟢 Epoch 3 | Step 0/42358
🟢 Epoch 3 | Step 500/42358
🟢 Epoch 3 | Step 1000/42358
🟢 Epoch 3 | Step 1500/42358
🟢 Epoch 3 | Step 2000/42358
🟢 Epoch 3 | Step 2500/42358
🟢 Epoch 3 | Step 3000/42358
🟢 Epoch 3 | Step 3500/42358
🟢 Epoch 3 | Step 4000/42358
🟢 Epoch 3 | Step 4500/42358
🟢 Epoch 3 | Step 5000/42358
🟢 Epoch 3 | Step 5500/42358
🟢 Epoch 3 | Step 6000/42358
🟢 Epoch 3 | Step 6500/42358
🟢 Epoch 3 | Step 7000/42358
🟢 Epoch 3 | Step 7500/42358
🟢 Epoch 3 | Step 8000/42358
🟢 Epoch 3 | Step 8500/42358
🟢 Epoch 3 | Step 9000/42358
🟢 Epoch 3 | Step 9500/42358
🟢 Epoch 3 | Step 10000/42358
🟢 Epoch 3 | Step 10500/42358
🟢 Epoch 3 | Step 11000/42358
🟢 Epoch 3 | Step 11500/42358
🟢 Epoch 3 | Step 12000/42358
🟢 Epoch 3 | Step 12500/42358
🟢 Epoch 3 | Step 13000/42358
🟢 Epoch 3 | Step 13500/42358
🟢 Epoch 3 | Step 14000/42358
🟢 Epoch 3 | Step 14500/42358
🟢 Epoch 3 | Step 15000/42358
🟢 Epoch 3 | Step 15500/42358
🟢 Epoch 3 | Step 16000/42358
🟢 Epoch 3 | Step 16500/42358
🟢 Epoch 3 | Step 17000/42358
🟢 Epoch 3 | Step 17500/42358
